#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Neopyropia yezoensis,Eukaryota;Other;Other,,SAMN13316713,PRJNA589917,GCA_009829735.1, Chromosome,107.591,64.8454,chromosome 1:CM020618.1; chromosome 2:CM020619.1; chromosome 3:CM020620.1,WMLA01,28,0,2020-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/735/GCA_009829735.1_ASM982973v1,,
Emiliania huxleyi CCMP1516,Eukaryota;Protists;Other Protists,CCMP1516,SAMN02744062,PRJNA77753,GCA_000372725.1,Scaffold,167.676,64.5,,AHAL01,7795,38554,2013-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/725/GCA_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/725/GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0,
Glycine max,Eukaryota;Plants;Land Plants,,SAMN00002965,PRJNA19861,GCA_000004515.5, Chromosome,978.942,35.1221,chromosome 1:NC_016088.4/CM000834.4; chromosome 2:NC_016089.4/CM000835.4; chromosome 3:NC_016090.4/CM000836.4; chromosome 4:NC_016091.4/CM000837.4; chromosome 5:NC_038241.2/CM000838.3; chromosome 6:NC_038242.2/CM000839.4; chromosome 7:NC_038243.2/CM000840.4; chromosome 8:NC_038244.2/CM000841.4; chromosome 9:NC_038245.2/CM000842.4; chromosome 10:NC_038246.2/CM000843.4; chromosome 11:NC_038247.2/CM000844.4; chromosome 12:NC_038248.2/CM000845.3; chromosome 13:NC_038249.2/CM000846.3; chromosome 14:NC_038250.2/CM000847.3; chromosome 15:NC_038251.2/CM000848.3; chromosome 16:NC_038252.2/CM000849.3; chromosome 17:NC_038253.2/CM000850.4; chromosome 18:NC_038254.2/CM000851.4; chromosome 19:NC_038255.2/CM000852.4; chromosome 20:NC_038256.2/CM000853.4; chloroplast Pltd:NC_007942.1/; mitochondrion MT:NC_020455.1/,ACUP04,347,74248,2010-01-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/515/GCA_000004515.5_Glycine_max_v4.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.6_Glycine_max_v4.0,
Medicago truncatula,Eukaryota;Plants;Land Plants,,SAMN08400029,PRJNA702529,GCA_003473485.2, Chromosome,430.008,33.4462,chromosome 1:NC_053042.1/CM010648.1; chromosome 2:NC_053043.1/CM010649.1; chromosome 3:NC_053044.1/CM010650.1; chromosome 4:NC_053045.1/CM010651.1; chromosome 5:NC_053046.1/CM010652.1; chromosome 6:NC_053047.1/CM010653.1; chromosome 7:NC_053048.1/CM010654.1; chromosome 8:NC_053049.1/CM010655.1; chloroplast Pltd:NC_003119.8/; mitochondrion MT:NC_029641.1/,PSQE01,42,42683,2018-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/473/485/GCA_003473485.2_MtrunA17r5.0-ANR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/473/485/GCF_003473485.1_MtrunA17r5.0-ANR,
Solanum lycopersicum,Eukaryota;Plants;Land Plants,,SAMN02981290,PRJNA119,GCA_000188115.3, Chromosome,828.349,35.6991,chromosome 1:NC_015438.3/CM001064.3; chromosome 2:NC_015439.3/CM001065.3; chromosome 3:NC_015440.3/CM001066.3; chromosome 4:NC_015441.3/CM001067.3; chromosome 5:NC_015442.3/CM001068.3; chromosome 6:NC_015443.3/CM001069.3; chromosome 7:NC_015444.3/CM001070.3; chromosome 8:NC_015445.3/CM001071.3; chromosome 9:NC_015446.3/CM001072.3; chromosome 10:NC_015447.3/CM001073.3; chromosome 11:NC_015448.3/CM001074.3; chromosome 12:NC_015449.3/CM001075.3; mitochondrion MT:NC_035963.1/; chloroplast Pltd:NC_007898.3/,AEKE03,3150,37660,2010-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/115/GCA_000188115.3_SL3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/115/GCF_000188115.4_SL3.0,
Hordeum vulgare subsp. vulgare,Eukaryota;Plants;Land Plants,,SAMEA7384724,PRJEB40589,GCA_904849725.1, Chromosome,4225.58,44.4651,chromosome 1H:LR890096.1; chromosome 2H:LR890097.1; chromosome 3H:LR890098.1; chromosome 4H:LR890099.1; chromosome 5H:LR890100.1; chromosome 6H:LR890101.1; chromosome 7H:LR890102.1,CAJHDD01,290,0,2021-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/849/725/GCA_904849725.1_MorexV3_pseudomolecules_assembly,,
Oryza sativa Japonica Group,Eukaryota;Plants;Land Plants,,SAMD00000397,PRJNA12269,GCA_001433935.1, Chromosome,374.423,43.5769,chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; mitochondrion MT:NC_011033.1/; plastid Pltd:NC_001320.1/,,58,42578,2015-10-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/935/GCA_001433935.1_IRGSP-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0,
Triticum aestivum,Eukaryota;Plants;Land Plants,,SAMEA8666907,PRJEB44721,GCA_907166925.1, Chromosome,14702.9,46.0516,chromosome 1A:OU015721.1; chromosome 1B:OU015722.1; chromosome 1D:OU015723.1; chromosome 2A:OU015724.1; chromosome 2B:OU015725.1; chromosome 2D:OU015726.1; chromosome 3A:OU015727.1; chromosome 3B:OU015728.1; chromosome 3D:OU015729.1; chromosome 4A:OU015730.1; chromosome 4B:OU015731.1; chromosome 4D:OU015732.1; chromosome 5A:OU015733.1; chromosome 5B:OU015734.1; chromosome 5D:OU015735.1; chromosome 6A:OU015736.1; chromosome 6B:OU015737.1; chromosome 6D:OU015738.1; chromosome 7A:OU015739.1; chromosome 7B:OU015740.1; chromosome 7D:OU015741.1,CAJRHR01,3795,0,2021-07-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/907/166/925/GCA_907166925.1_wheat_cv_fielder_v1_assembly,,
Zea mays,Eukaryota;Plants;Land Plants,,SAMEA5569141,PRJEB32225,GCA_902167145.1, Chromosome,2182.79,46.7831,chromosome 1:NC_050096.1/LR618874.1; chromosome 2:NC_050097.1/LR618875.1; chromosome 3:NC_050098.1/LR618876.1; chromosome 4:NC_050099.1/LR618877.1; chromosome 5:NC_050100.1/LR618878.1; chromosome 6:NC_050101.1/LR618879.1; chromosome 7:NC_050102.1/LR618880.1; chromosome 8:NC_050103.1/LR618881.1; chromosome 9:NC_050104.1/LR618882.1; chromosome 10:NC_050105.1/LR618883.1; mitochondrion MT:NC_007982.1/; chloroplast Pltd:NC_001666.2/,CABHLF01,687,57578,2020-01-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/145/GCA_902167145.1_Zm-B73-REFERENCE-NAM-5.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/145/GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0,
Pneumocystis carinii B80,Eukaryota;Fungi;Ascomycetes,B80,SAMN02380717,PRJNA223511,GCA_001477545.1,Contig,7.66146,27.8,,LFVZ01,62,3646,2015-12-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/545/GCA_001477545.1_Pneu_cari_B80_V3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3,
